Name,Platform,Service_Type,URL
Microsoft Careers,linkedin,linkedin_posts,https://linkedin.com/company/microsoft
Tasty,facebook,facebook_pages_posts,https://facebook.com/buzzfeedtasty
Nike,instagram,instagram_posts,https://instagram.com/nike
NBA,tiktok,tiktok_posts,https://tiktok.com/@nba
NASA Post Comments,facebook,facebook_comments,https://facebook.com/nasa/posts/45678
GoPro Reels,instagram,instagram_reels,https://instagram.com/gopro/reels
Art Post Comments,instagram,instagram_comments,https://instagram.com/p/DEF456uvw/
Google Developers,linkedin,linkedin_posts,https://linkedin.com/showcase/google-developers
UNICEF Page,facebook,facebook_pages_posts,https://facebook.com/unicef
Netflix Profile,instagram,instagram_posts,https://instagram.com/netflix
